Longitude	Latitude	FID	solmutunnu	linjoja	lyhyt_nro	nimi_s	nimi_r	nousijat	nettiosoit	P_koord	I_koord
24.647052	60.15367159	5646	2413225	2	E4050	Maininkitie	Dyningsvägen	1	http://aikataulut.hsl.fi/pysakit/fi/2413225.html	6671510	2536116
24.73943493	60.1599832	5647	2314213	0	E3149	Matinkylä (M)	Mattby (M)	0	http://aikataulut.reittiopas.fi/pysakit/fi/2314213.html	6672267	2541239
24.74593225	60.17253079	5648	2322230	3	E3237	Lystimäenristi	Lustikullakorset	9	http://aikataulut.hsl.fi/pysakit/fi/2322230.html	6673669	2541584
24.81363292	60.24090547	5649	2117224	0	E1945	Sinirinta	Blåhaken	0	http://aikataulut.hsl.fi/pysakit/fi/2117224.html	6681331	2545248
24.73936248	60.15996565	5650	2314214	0	E3150	Matinkylä (M)	Mattby (M)	0	http://aikataulut.reittiopas.fi/pysakit/fi/2314214.html	6672265	2541235
24.64638825	60.15196043	5651	2413226	1	E4051	Maininkipuisto	Dyningsparken	0	http://aikataulut.hsl.fi/pysakit/fi/2413226.html	6671319	2536081
24.73764101	60.22460068	5652	2151903	0	XE1510	Estrada Viherlaakso	Estrada Gröndal	0	 	6679465	2541059
24.75868876	60.22963414	5653	2133901	0	XE1805	Karakallion koulu	Karakallion koulu	0	 	6680039	2542219
24.64686705	60.15159009	5654	2413227	1	E4052	Maininkipuisto	Dyningsparken	0	http://aikataulut.hsl.fi/pysakit/fi/2413227.html	6671278	2536108
24.73789676	60.22794715	5655	2151904	0	XE1511	Viherlaakson lukio	Viherlaakson lukio	0	 	6679838	2541069
24.74354478	60.2367029	5656	2141201	7	E1401	Nuumäki	Nobacken	19	http://aikataulut.hsl.fi/pysakit/fi/2141201.html	6680817	2541371
24.81336078	60.24085327	5657	2117225	0	E1946	Sinirinta	Blåhaken	32	http://aikataulut.hsl.fi/pysakit/fi/2117225.html	6681325	2545233
24.73927214	60.1599482	5658	2314215	0	E3151	Matinkylä (M)	Mattby (M)	0	http://aikataulut.reittiopas.fi/pysakit/fi/2314215.html	6672263	2541230
24.7452961	60.17228308	5659	2322231	3	E3238	Lystimäenristi	Lustikullakorset	181	http://aikataulut.hsl.fi/pysakit/fi/2322231.html	6673641	2541549
24.61899764	60.1583472	5660	2413228	6	E4153	Kummelirannanportti	Kummelstrandsporten	0	http://aikataulut.reittiopas.fi/pysakit/fi/2413228.html	6672016	2534553
24.73916338	60.15992187	5661	2314216	0	E3152	Matinkylä (M)	Mattby (M)	0	http://aikataulut.reittiopas.fi/pysakit/fi/2314216.html	6672260	2541224
24.7055515	60.22428141	5662	2152226	6	E1524	Petas	Petas	72	http://aikataulut.hsl.fi/pysakit/fi/2152226.html	6679410	2539281
24.75872107	60.23650034	5663	2141202	1	E1470	Olkiniitty	Halmängen	53	http://aikataulut.hsl.fi/pysakit/fi/2141202.html	6680804	2542212
24.80890108	60.24156273	5664	2117226	3	E1947	Jääskeläntie	Jääskelävägen	11	http://aikataulut.hsl.fi/pysakit/fi/2117226.html	6681401	2544985
24.74338533	60.17462751	5665	2322232	3	E3239	Ylisrinne	Oppibranten	99	http://aikataulut.hsl.fi/pysakit/fi/2322232.html	6673901	2541440
24.61846649	60.15787395	5666	2413229	6	E4154	Kummelirannanportti	Kummelstrandsporten	0	http://aikataulut.reittiopas.fi/pysakit/fi/2413229.html	6671963	2534524
24.73927193	60.15993922	5667	2314217	0	E3153	Matinkylä (M)	Mattby (M)	0	http://aikataulut.reittiopas.fi/pysakit/fi/2314217.html	6672262	2541230
24.69598734	60.22338941	5668	2152227	6	E1525	Ingas	Ingas	109	http://aikataulut.hsl.fi/pysakit/fi/2152227.html	6679305	2538752
24.75972866	60.23636	5669	2141203	1	E1476	Olkiniitty	Halmängen	2	http://aikataulut.hsl.fi/pysakit/fi/2141203.html	6680789	2542268
24.80840431	60.24118878	5670	2117227	3	E1948	Jääskeläntie	Jääskelävägen	81	http://aikataulut.hsl.fi/pysakit/fi/2117227.html	6681359	2544958
24.7417196	60.17506768	5671	2322234	7	E3240	Ylisrinne	Oppibranten	46	http://aikataulut.hsl.fi/pysakit/fi/2322234.html	6673949	2541347
24.64601622	60.15043638	5672	2413256	10	E4054	Puosunrinne	Båtsmansbrinken	197	http://aikataulut.hsl.fi/pysakit/fi/2413256.html	6671149	2536062
24.73909093	60.15990432	5673	2314218	0	E3154	Matinkylä (M)	Mattby (M)	0	http://aikataulut.reittiopas.fi/pysakit/fi/2314218.html	6672258	2541220
24.74087459	60.23995808	5674	2141204	7	E1403	Lähderannanristi	Källstrandskorset	280	http://aikataulut.hsl.fi/pysakit/fi/2141204.html	6681178	2541219
24.69404439	60.22365994	5675	2152228	6	E1526	Ingas	Ingas	32	http://aikataulut.hsl.fi/pysakit/fi/2152228.html	6679334	2538644
24.80879798	60.24470488	5676	2117228	3	E1949	Paikkalinnuntie	Stannfågelsvägen	3	http://aikataulut.hsl.fi/pysakit/fi/2117228.html	6681751	2544975
